0	1	 0 0 0 0 0 0 0 0 
0	2	 0 0 0 0 0 0 0 0 
0	3	 0 0 0 0 0 0 0 0 
0	4	 0 0 0 0 0 0 0 0 
0	5	 0 0 0 0 0 0 0 0 
0	6	 0 0 0 0 0 0 0 0 
0	7	 0 0 0 0 0 0 0 0 
0	8	 0 0 0 0 0 0 0 0 
0	9	 0 0 0 0 0 0 0 0 
0	10	 0 0 0 0 0 0 0 0 
0	11	 0 0 0 0 0 0 0 0 
0	12	 0 0 0 0 0 0 0 0 
0	13	 0 0 0 0 0 0 0 0 
0	14	 0 0 0 0 0 0 0 0 
1	15	 0 0 0 0 0 0 0 0 
1	0	1	11	0	1	-0.000985174	-0.00287799	0.00980728	1.48629	0	-2.37957	-7.66717	6.6631
0	16	 0 0 0 0 0 0 0 0 
0	17	 0 0 0 0 0 0 0 0 
0	18	 0 0 0 0 0 0 0 0 
0	19	 0 0 0 0 0 0 0 0 
0	20	 0 0 0 0 0 0 0 0 
0	21	 0 0 0 0 0 0 0 0 
0	22	 0 0 0 0 0 0 0 0 
0	23	 0 0 0 0 0 0 0 0 
0	24	 0 0 0 0 0 0 0 0 
0	25	 0 0 0 0 0 0 0 0 
0	26	 0 0 0 0 0 0 0 0 
0	27	 0 0 0 0 0 0 0 0 
0	28	 0 0 0 0 0 0 0 0 
1	29	 0 0 0 0 0 0 0 0 
1	0	1	11	0	13	-0.00130289	0.000617357	0.000731802	2.22007	0	-5.50528	5.82342	18.0104
0	30	 0 0 0 0 0 0 0 0 
0	31	 0 0 0 0 0 0 0 0 
0	32	 0 0 0 0 0 0 0 0 
0	33	 0 0 0 0 0 0 0 0 
0	34	 0 0 0 0 0 0 0 0 
0	35	 0 0 0 0 0 0 0 0 
0	36	 0 0 0 0 0 0 0 0 
0	37	 0 0 0 0 0 0 0 0 
0	38	 0 0 0 0 0 0 0 0 
0	39	 0 0 0 0 0 0 0 0 
0	40	 0 0 0 0 0 0 0 0 
0	41	 0 0 0 0 0 0 0 0 
